title,price,info,composition,usage,precautions,brand,image,description,url
Protector Bioderma Photoderm Nude Touch Golden Hour,S/ 122.90,"['Regula la cantidad y calidad del sebo producido cada día', 'Oculta las imperfecciones y unifica la textura de la piel.', 'NSOC30812-17PE']",Ácido Salicílico,Usar el producto de la siguiente manera:,Contiene ácido salicílico,BIODERMA,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/036347L.jpg,Protector Bioderma Photoderm Nude Touch Golden Hour FPS 50+ brinda una protección muy alta frente a UVA/UVB con textura super ligera.,https://inkafarma.pe/producto/photoderm-nude-touch-50-bioderma-golden/036347
Agua Termal Avène Piel Sensible 300ml,S/ 115.20,[],,"Humedecer la almohadilla de algodón y aplicar sobre ella suficiente loción, frotar suavemente en la piel.",Producto para uso externo. Mantener fuera del alcance de los niños.,AVÈNE,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/147081L.jpg,"Agua Termal Avène para Pieles Sensibles conserva intactas todas sus propiedades calmantes, desensibilizantes y suavizantes. Calmante y anti-irritante.",https://inkafarma.pe/producto/agua-termal-avene-para-piel-sensible/147081
Loción Isdin Acniben Body Spray 150ml,S/ 84.90,"['Cuidado corporal.', 'Registro Sanitario: NSCO29502-17PE']",,,Evitar el contacto directo con los ojos.,ISDIN,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/012235L.jpg,Loción Isdin Acniben Body Spray ayuda con la reducción de granos corporales. Penetra en los poros y ayuda a controlar el exceso de grasa.,https://inkafarma.pe/producto/reduccion-de-granos-corporales-acnibean-body-spray/012235
Anacaps Reactiv Ducray Cápsulas,S/ 200.90,"['Fortaleza y salud capilar', 'Con Vitaminas B2, B3, B5, B6, B8, B9, C Y E']",,Usar el producto de la siguiente manera:,Uso exclusivo para adultos. En caso de alguna reacción alérgica. Consulte con su médico.,DUCRAY,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/019178L.jpg,"Anacaps Reactiv Ducray cápsulas te ayudan con la fortaleza y salud capilar. Mayor volumen, densidad y resistencia para tu cabello.",https://inkafarma.pe/producto/anacaps-reactiv-ducray-capsulas-caja-30-un/019178
La Roche Posay Sérum Effaclar Anti-Imperfecciones 30ml,S/ 204.90,"['Antiimperfecciones.', 'Desobstruye los poros.', 'Acción peeling.', 'NSOC46817-20PE']",3 ácidos queratolíticos (Ácido salicílico + ácido glicólico + LHA) para reducir imperfecciones y marcas + Niacinamida (mejora la barrera de la piel y reduce las irritaciones cutáneas) + Agua Termal para una acción calmante y anti-irritación.,"Aplicar en todo el rostro por la noche, tras limpiar la piel con Effaclar Gel o Effaclar Gel Purificante Microexfoliante.",Mantener fuera del alcance de los niños.,LA ROCHE-POSAY,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/033341L.jpg,"Sérum Effaclar, suero conmétic diseñado para exfoliar, evitar y reducir las imperfecciones en piel con tendencia acnéica. Purificando la piel.",https://inkafarma.pe/producto/serum-effaclar-la-roche-posay-anti-imperfecciones/033341
Cetaphil Pro AC Control Espuma de Limpieza Facial para Piel Grasa,S/ 98.90,"['Espuma de limpieza facial', 'Frasco de 236 ml', 'NSOC50357-12CO']",,Usar el producto de la siguiente manera:,Almacenar en un lugar fresco.,CETAPHIL,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/008073L.jpg,"La espuma limpiadora facial de Cetaphil para pieles grasas, ayuda a remover el exceso de sebo y controlar el brillo con una fórmula hipoalergénica y no comedogénica.",https://inkafarma.pe/producto/espuma-cetaphil-pro-ac-control-236ml/008073
Limpiador Anti-rugosidades CeraVe,S/ 109.90,"['Limpiador Anti-rugosidades', 'Exfolia y alisa la piel', 'Para piel seca, rugosa  e irregular', 'Sin perfume', 'NSOC42868-19PE']","3 Ceramidas esenciales, acido salicilico y acido hialuronico",Masajear sobre la piel humeda,Mantener fuera del alcance de los niños.,CERAVE,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/071150L.jpg,"Limpiador Anti-rugosidades CeraVe. Diseñado para exfoliar y suavizar la piel. Combina tres ceramidas esenciales, ácido salicílico y ácido hialurónico.",https://inkafarma.pe/producto/limpiador-anti-rugosidades-cerave/071150
Agua Micelar Bioderma Sensibio H2O Victoria Beckham - Inkafarma,S/ 120.90,"['Elimina el maquillaje del rostro y los ojos.', 'Limpia la piel de las impurezas y partículas contaminantes.', 'Calma y descongestiona la piel.', 'Conserva el equilibrio natural de la piel.', 'Respeta y refuerza la función barrera de la piel.', '']","AQUA/WATER/EAU, GLYCERIN, DICAPRYLYL ETHER, PROPYLHEPTYL CAPRYLATE, BUTYLENE GLYCOL, GLYCERYL STEARATE CITRATE, GLYCOL PALMITATE, SQUALANE, SUCROSE STEARATE, MANGIFERA INDICA (MANGO) SEED BUTTER, PENTYLENE GLYCOL, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, CAPRYLYL GLYCOL, CARNOSINE, HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER, MANNITOL, XYLITOL, TOCOPHEROL, SALVIA MILTIORRHIZA FLOWER/LEAF/ROOT EXTRACT, RHAMNOSE, GLYCINE SOJA (SOYBEAN) OIL, POLYSORBATE 60, SORBITAN ISOSTEARATE, PALMITOYL TETRAPEPTIDE-10. [BI 2012]","Mañana y noche 7 días de la semana, con estos pasos:",En caso de alguna reacción alergica. Consulte con su médico. Evitar el contacto directo con los ojos.,BIODERMA,,,https://inkafarma.pe/producto/agua-micelar-bioderma-sensibio-h2o-vb/077517
Crema Antiestrías ISDIN Woman,S/ 99.90,"['Previene y atenúa estrías', 'Hidrata', 'NSOC50082-21PE']","Triterpenos  de Centella asiática: Estimula la biosíntesis de colageno y la producción de fibronectina.Hidroxiprolisilano CN: Mejora la organización de las fibras que unen tejido elástico y colágenoAceite de rosa mosqueta: Rico en ácidos grasos esenciales (linoleico y linolénico). Activa las prostaglandinasManteca de Shorea (Omega 6 y 9, tocoferoles): Reduce la pérdida transepidérmica de aguaVitamina E: Antioxidante.",Utilizar dos veces al día sobre las zonas más distendidas con un suave masaje hasta su completa absorción. Aplicar preferentemente sobre la piel limpia y seca.,Mantenga el producto fuera del alcance de los niños. Evitar el contacto con ojos y mucosas.,ISDIN,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/067117L.jpg,"Crema Antiestrías ISDIN Woman, tiene una fórmula especializada con 89% en ingredientes de origen natural que ayudan a prevenir y atenuar las estrías.",https://inkafarma.pe/producto/crema-antiestrias-isdin-woman/067117
Crema Facial de Día Eucerin Hyaluron-Filler FPS30,S/ 170.90,"['Cuidado de la piel.', 'NSOC85891-18CO']",,,Mantener fuera del alcance de los niños.,EUCERIN,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/025421L.jpg,"Crema Facial de Día Antiarrugas Eucerin Hyaluron-Filler FPS 30, trata los primeros signos del envejecimiento. Protege la piel del envejecimiento prematuro.",https://inkafarma.pe/producto/eucerin-hyaluron-filler-day-spf-30/025421
Pack Bioderma Sébium Sérum + Solución Micelar Sébium H2O + Producto Promocional Neceser - Inkafarma,S/ 162.90,"['Sérum Anti-imperfecciones Bioderma Sebium:', 'Elimina los granos y poros dilatados.', 'Reduce las marcas por acné.', 'Previene la formación de nuevas marcas.', 'Alisa las líneas de expresión.', '8 horas de hidratación', 'No irrita ni causa alergias.', 'Alta tolerancia', '', '41% lesiones de acné', '82% reduce líneas de expresión Solución Micelar Sébium H2O Bioderma:', 'Limpieza de maquillaje y cuidado de la piel', 'Para piel mixta a grasa', 'Evita la obstrucción del poro.', 'Tolerancia muy buena', 'No comedogénico', 'No requiere enjuague']","Sebium SerumAQUA/WATER/EAU, BUTYLENE GLYCOL,GLYCERIN, PROPANEDIOL, ACETYL GLUCOSAMINE,PENTYLENE GLYCOL, SALICYLICACID, XANTHAN GUM,POLYSORBATE 20, SODIUM CITRATE, MANNITOL, SODIUMHYDROXIDE, PROPYLGALLATE, HYDROLYZED HYALURONKC ACID, SODIUM METABISULFITE, AMINOETHANESULFINICACID, FRAGRANCE (PARFUM). [B1 2063)",Sebium Serum,,BIODERMA,,,https://inkafarma.pe/producto/pack-bioderma-sebium-serum-sol-micelar-neceser/074642
Fortalecedor de Uñas Isdin Si-Nails,S/ 119.90,"['Cuidado y fortalecimiento de las uñas', 'Promueve el crecimiento de uñas', 'Mayor resistencia', 'Caja de 1 unidad', 'NSOC98960-20CO']",,,Almacenar en un lugar fresco.,ISDIN,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/030307L.jpg,"Fortalecedor de Uñas Isdin Si-Nails promueve el crecimiento de las uñas y aumenta su resistencia, mientras te ayuda a evitar su rotura.",https://inkafarma.pe/producto/fortalecedor-de-unas-isdin-si-nails-1un/030307
Gel Concentrado Eucerin Dermopure Triple Effect,S/ 122.90,"['Gel limpiador concentrado para uso diario', 'Reduce manchas post-imperfecciones', 'Reduce imperfecciones', 'Control el brillo de la piel', 'NSOC26186-23CO']","Aqua, Coco-Glucoside, Ácido Salicílico, Glycerin, Sodium Laureth Sulfate, Xanthan Gum, PEG-8, Alcohol Denat., Glycolic Acid, Gluconolactone, Phenoxyethanol, Trisodium Ethylenediamine Disuccinate, Citric Acid, Sodium Hydroxide, Parfum","• Utiliza el gel limpiador concentrado como primer paso de tu rutina • Aplícalo dos veces al día, por la mañana y por la noche • Combina el producto en las manos con agua tibia para crear una suave espuma • Aplícalo sobre el rostro o el cuerpo húmedos, evitando el contacto con los ojos • Lavar con abundante agua • Aplicar a continuación un producto de cuidado adecuado. Recomendamos Eucerin DermoPure Triple Effect SerumConsejo para la piel: sigue la regla de los 60 segundos para conseguir una piel más limpia.","Uso externo. Mantener fuera del alcance de los niños. Si observa alguna reacción desfavorable, suspenda su uso; si persiste consulte a su médico. Evite el contacto con los ojos.",EUCERIN,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/074120L.jpg,Gel Concentrado Eucerin Dermopure Triple Effect. Con Ácido Salicílico al 2% te ayuda a vencer por fin las imperfecciones y sus manchas.,https://inkafarma.pe/producto/gel-concentrado-eucerin-dermopure-triple-effect/074120
Fotoprotector Isdin FotoUltra Fusion Fluid Sin Color,S/ 129.90,"['Protector solar\xa0Isdin Active Unify', 'NSOC64229-15CO']",,,No aplicar en zonas irritadas.,ISDIN,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/009563L.jpg,Fotoprotector Isdin FotoUltra Fusion Fluid SPF 100 Sin Color ofrece una protección 3 veces superior al mínimo requerido en un protector solar.,https://inkafarma.pe/producto/fotoultra-100-isdin-active-unify-fusion-fluid-sin-color/009563
Concentrado Fortificante Vichy Mineral 89 30ml,S/ 139.90,"['Refuerza la barrera natural de la piel.', 'Aumenta la resistencia de la piel frente a facrtores agresivos como la contaminación.', 'Tonifica, Rellena, Ilumina e Hidrata la piel.', 'NSOC78883-17CO']",Ácido Hialurónico y Agua termal de Vichy,Paso cero de tu rutina diaria. Aplicar en rostro y cuello.,Mantener fuera del alcance de los niños.,VICHY,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/067299L.jpg,"Concentrado Fortificante Vichy Mineral 89 para Rostro fortificante, rellenante e hidratante compuesto por un 89% de Agua Mineraliza Volcánica Vichy.",https://inkafarma.pe/producto/concentrado-fortificante-vichy-mineral-89-rostro/067299
La Roche Posay Toleriane Dermallergo Fluido,S/ 117.90,"['Repara la barrera cutánea.', 'Hidrata la piel.', 'Ayuda a regular los signos de inflamación.', 'NSOC08236-21C0']",Fórmula con Sphingobioma que rebalancea las funciones del microobioma.,Aplicar sobre la piel limpia día y noche.,Mantener fuera del alcance de los niños.,LA ROCHE-POSAY,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/067143L.jpg,"Fluido Hidratante y Calmante La Roche Posay Toleriane Dermallergo para pieles con tendencia alérgica en pieles sensibles mixtas, grasas o tendencia alérgica.",https://inkafarma.pe/producto/fluido-hidratante-la-roche-posay-toleriane/067143
Protector La Roche Posay Anthelios Age Correct Color,S/ 139.90,"['Fotocorrector en gelcrema de alta cobertura.', 'Ayuda a prevenir y corregir los signos del foto envejecimiento.', 'Protege de la luz visible o la luz azul.', 'Apto para pieles maduras.', 'NSOC-02602-20CO']","Nueva tecnolgía Cellox B3, Niacinamida, ácido hialurónico fragmentado, phe - resorcinol, L.H.A","Aplique abundantemente el producto justo antes de exponerse al sol. Distribuir uniformemente en todo el rostro, cuello y escote. Aplicar 30 minutos antes de la exposición solar y re aplicar cada dos horas para mantener la alta protección. Renueve frecuente y generosamente la aplicación para mantener la protección, sobre todo después de nadar, sudar o secarse con una toalla.","Advertencias y Precauciones: La sobreexposición al sol es un peligro para la salud. No permanezca demasiado tiempo al sol, incluso si usted utiliza un producto de protección solar, ya que no lo protege al 100% ni contra la insolación. Niños y bebés: no se recomienda la exposición directamente al sol. Para menores de 6 meses, consultar al médico.",LA ROCHE-POSAY,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/037009L.jpg,Fotocorrector La Roche Posay Anthelios Age Correct Color FPS 50 protege y corrige los signos del fotoenvejecimiento por la exposición a rayos UV.,https://inkafarma.pe/producto/protector-solar-anthelios-uvmune-400-fluido/037009
Fotoprotector Isdin Pediatrics Gel Cream,S/ 139.90,"['Protección solar infantil', 'Fotoprotector FPS 50+', 'Seguridad y frescura antioxidante para la piel de los niños', 'NSOC17142-14PE']",,,Evitar el contacto directo con los ojos.,ISDIN,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/024379L.jpg,Fotoprotector Isdin Pediatrics Gel Cream 50 FPS 50 es un gel crema bloqueador para niños que los protege del sol. Apto para todo tipo de pieles.,https://inkafarma.pe/producto/fotoprotector-isdin-pediatrics-gel-cream-50/024379
Contorno de Ojos Eucerin Antipigment,S/ 159.90,"['Con Thiamidol patentado y Ácido Hialurónico', 'Reduce visiblemente todo tipo de ojeras y bolsas en los ojos', 'Aplicador metálico refrescante para un rendimiento óptimo', 'NSOC18071-22CO']","Isobutylamido Thiazolyl Resorcinol, Aqua, Alcohol Denat, Glycerin, Glyceryl Stearate, Glycyrrhiza Inflata Root Extract, CaprylicCapric Triglyceride, Cocoglycerides, Cetearyl Alcohol, Cetyl Palmitate, Citric Acid, CI 77891, CI 77492, CI 77491, CI 77499, Isopropyl Palmitate, Butyrospermum Parkii Butter, Lauroyl Lysine, Sodium Hyaluronate, Sodium Stearoyl Glutamate, Sodium Chloride, Sodium Hydroxide, Pimpinella Anisum Fruit Extract, Xanthan Gum, Trisodium EDTA",Poner una cantidad del tamaño de un guisante en el aplicador metálico y utilizarlo masajeando la piel por sobre y por debajo del ojo. Hazlo desde el interior del contorno de ojos hacia el exterior. Utiliza los dedos para dar golpecitos en la zona de los ojos hasta que la fórmula se haya absorbido por completo. Recuerda usar máximo 4 aplicaciones de todos los productos faciales con Thiamidol al día.,"▪ No exceder de 4 aplicaciones por día por zona de aplicación de productos que contengan Thiamidol.  ▪ Uso externo. ▪ Si observa alguna reacción desfavorable, suspenda su uso; si persiste, consulte a su médico. ▪ Evite el contacto directo con los ojos. ▪ Mantener fuera del alcance de los niños y almacenado en un lugar seco y alejado de la luz. ▪ La eficacia del producto depende del uso de acuerdo a las condiciones indicadas en el rótulo. ▪ Producto cosmético sin acción terapéutica.",EUCERIN,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/068499L.jpg,Contorno de Ojos Eucerin Antipigment con Thiamidol patentado y Ácido Hialurónico. Reduce visiblemente todo tipo de ojeras y bolsas en los ojos.,https://inkafarma.pe/producto/contorno-de-ojos-eucerin-antipigmento/068499
Shampoo Eucerin Anticaspa Grasa,S/ 135.90,"['Anticaspa.', 'NSOC49510-12CO']",,,Evitar el contacto directo con los ojos.,EUCERIN,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/006034L.jpg,"Shampoo Eucerin Anticaspa Grasa, controla efectivamente la caspa grasosa y alivia la picazón mientras limpia el cuero cabelludo y el cabello con suavidad.",https://inkafarma.pe/producto/shampoo-gel-anticaspa-eucerin-dermo-capillaire-par/006034
Serúm Vitamina C Eucerin Hyaluron,S/ 99.90,"['Estimula el relleno de tu piel +200% de Ácido Hialurónico +49% de Colágeno.', 'Con un 10 % de Vitamina C pura activada al instante.', 'Sérum anti-edad.', 'Para todo tipo de pieles.', 'NSOC90623-19CO']","Aqua, Ascorbic-Acid, Glycerin, Squalane, Isopropyl Palmitate, Dibutyl Adipate, Glyceryl Stearate, Distarch Phosphate, Methylpropanediol, Sodium Hyaluronate, Glycyrrhiza Inflata Root Extract, PEG-40 Stearate, Sorbitan Stearate, Sodium Cetearyl Sulfate, Dimethicone, Acrylic Acid-VP Crosspolymer, Xanthan Gum, Trisodium EDTA, 1-2-Hexanediol, Piroctone Olamine, Phenoxyethanol, BHT, Parfum","• Se puede usar por la mañana o por la noche. • Agitar y mezclar antes del primer uso• Se debe aplicar antes de la crema de día o de noche, o bien combinarlo con la crema hidratante o crema de tratamiento antes de aplicar.• Después de abierto, usar dentro de los 21 días.","Uso externo. Evite el contacto con los ojos. Puede presentarse picazón/picor. Si observa alguna reacción desfavorable, irritación o sarpullido, suspenda su uso; si persiste, consulte a su médico. El Ácido Áscórbico puede aumentar la sensibilidad de la piel al sol y el riesgo de quemaduras solares. Mientras usa este producto: protéjase y limite la exposición al sol. Producto cosmético sin acción terapéutica. Mantener fuera del alcance de los niños.",EUCERIN,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/069157L.jpg,"Serúm Facial Vitamina C Eucerin Anti-edad Hyaluron Filler + 3x Effect. Sérum de absorción rápida que fortalece, suaviza y rellena las arrugas.",https://inkafarma.pe/producto/serum-vitamina-c-eucerin-anti-edad-hyaluron-filler/069157
